Company,Position
Innovatur,Consultor Independiente
Travelgenio.com,Chief Operating Officer
Redeban,Gerente de Desarrollo Digital
Glovo,Global Director of Talent Acquisition
Travelport,Global Talent Acquisition Partner
Independiente / Freelance,Selector
Jobs Karnival,Senior Recruiter / EMEA
E*TRADE,CIO and Head of Technology
Dancan - Gestión del Talento,"Tech Recruiter, Talenthunter & HR Consultant"
Danone,Head Of Ecommerce
Travelport,Regional Account Manager
Cognizant,Senior Program Manager
Micro Focus,IT Recruiter 
PH Travel Ltd T/a Perfect Holidays,Managing Director
Travelport,Account Manager
Laboratorios Bagó S.A.,Programador Angular & Java
ATHENAWORKS,Senior Technical Recruiter
Bookingmotor - Soluciones Tecnológicas para la industria turística,Responsable Comercial Area Sur
Universidad Nacional de La Rioja,Profesor ponente invitado
Rappi,Product Lead: Payments Credit Card
RecargaPay,Product Owner
Landing Travel Service,Director de proyecto
SAP,Senior Project Manager
Demand Increase,Account Manager
Amadeus,Head of Transactional Search Consulting Americas
Wildlife Studios,Director Of Engineering
Travelport,Business Development Manager - Strategic Accounts
Macrobots,CEO
Travelport,Business Analyst
Ripple,Technical Services Engineer
Naranja X,DevOps - Technical Support
Decolar,Gerente de atendimento ao cliente
Decolar.com,Gerente - Revenue Assurance
NextLevel Consulting,Manager – Enablement & Development
Travelport,Director of Product Management
CRM Vantage,Independent Senior Consultant
Despegar.com,Gerente Operaciones Customer Service 
Veolia,Gerente de Administracion y Finanzas - Direccion Servicios Industriales
5M travel group - #1 travel agency group in UY,ecommerce consultant
Self-employed,Biz Dev / Commercial Manager
The Home Depot,Enterprise UX Manager
Indeed.com,"Sr. Director, Voice of Customer"
Black Spectacles,Director of Product
Imperio,Cajero
Tech Travel Sistemas,Co-Founder & CEO
Despegar.com,Analista de redes de telecomunicaciones
Travelport,Commercial Director for Consolidators and Niche Markets
Travelport,Global OTA Group - Customer Success Manager
Navent,Product Lead
Delivery Hero,Senior Information Security Manager
Despegar,Sr Development Manager
Travelport,Regional Director Airlines for Latin America
Shorelight Education,Director of Global Projects (Educator on Loan for UNESCO)
Prisma Medios de Pago S.A.,Jefe de Integracion de Servicios
IBM,IBM Solution Gateway Manager
Interrapidisimo,Customer Service Manager
DESPEGAR.COM,JEFE DEPARTAMENTO DE TECNOLOGIA
Despegar,Jefe Regional de Capacitación - Estrategía de Clientes 
Alcaldía Mayor de Bogotá,Lotería de Bogotá - Miembro de Junta Directiva
Travelport,Strategic Business Development Manager
Despegar.com,Ejecutiva Comercial Sur de la Argentina - Producto Hoteles
"MDM, Big Data, AI, Data Analytics",Principal & CoE Exec
Redpagos,Jefe de Recursos Humanos
Xmartlabs,Project Manager
Essen,Jefe de ventas y desarrollo de redes
TTS Viajes S.A.,Asesor comercial
Huenei IT Services,Recruiting Assistant
Airbnb,Account Manager - (COVID-19 redundancy)
Language Savvy,Fundadora y Directora
Despegar.com,Analista funcional de Vuelos
365 Travel - Brasil,Diretor
Sabre Travel Network,"Account Director, Global OTA, Technology & Sales"
Travelport,Vice President
Travelport,Director - Software Development Engineering
Digital Beings,Chief Executive Officer
Witbor,Oracle Fusion Cloud Financials Consultant
Cognizant Technology Solutions,Learning And Development Specialist
Fiserv,Sr. Project Manager -  LATAM IT PMO
Travelport,Technology Optimization Manager for Latin America
UCES, Professor in Air transportation University of Tourism UCES
Travelport,Bookability Engineer
MOBEATS,Project Manager
Despegar,Software Engineering Manager I
Youse Seguros,Sr Product Manager
Mercado Libre,Regional Product Senior Manager
Banco Macro,Oficial Selecta
Galileo International,"Head of Global OTA, The Americas"
Recursiva,Analista de sistemas
WWW.ORBENETWORK.COM,CONDUCTOR PROGRAMA TV
Southteams,Advisor
Glovo,Manager de Operaciones
Intagro S.A.,Analista de contabilidad
HV Talent, Head Hunter
DIRECTIONS Conference & Incentive Management,Travel Consultant
Deviget LLC,Senior IT Recruiter
Globant,Business Analyst Sr
Ingenico ePayments,Relationship Manager
Prisma Medios de Pago,Head of Ecommerce Segment & Partnerships
Elementum,LATAM General Manager
Wildlife Studios,Talent Acquisition Manager
Openbank,Payments Manager
Travelport,SMB Specialist
Despegar.com,Flights IT Business Solutions
Ricale Viajes,General Manager
Core Travel Technologies,General Manager and Vice President of Sales
VIDA Tec,Technical Product Manager
Despegar,Product Manager
Endava,Head of Project Delivery Management
Mercado Libre,Product Supervisor | Advertising
Despegar.com,Gerente Sr. de Producto y Customer Intelligence
Worldpay,"Vice President - Commercial, Latin America"
Travelport,Latin America Program Manager 
Universities and Institutions,Project Management Professor and Trainer
IBM,ETL Developer
Mercado Libre,Director de Planning & Strategy 1P
Gobierno de la Ciudad de Buenos Aires,Asesor
Madzen,Co-Founder
Banco Bci,Payment Specialist
Medallia,Software Engineer
Travelport,Technical Product Manager - Payments
MPA Consultora,IT Senior Recruiter
<intent>,Vice President - Client Partnerships
Travelport,Account Manager
Easilys,Chief Commercial Officer | Digital Transformation | FoodTech
SG Mobile LATAM,Country Manager México
Travelport,Solutions Consultant
Egncy ,Director Comercial
Olympia Europe Wholesaler,Sales Manager Latam
GRUPO|DNA,Sales & Marketing Senior Consultant
Ola Mayorista de Turismo,Responsable de contrataciones aereas
Linio Group,Product Management Regional Director
Creative Director,Independent Contractor & Consultant 
Best Day Travel,Flights Product Manager
Travelport,Head of API Consultancy and Implementation Americas
XYPRO Technology,Professional Service Specialist for Latin America
Atrapalo.com.ar,Country Manager
Genesys,Sr Sales/Lead Development Representative in Latam Southern Cone
Travelport,Operational Account Manager
Pentacomb SA,Encargado de turnos
Turismocity,Co-founder
EXPERTA COMMERCE,Sales Director Latin America & Caribbean
Travelport,Senior Solutions Manager
Blockchain.com,Site Reliability Engineering Team Lead
SurveyMonkey,Senior Operations Analyst
FADEMI S.A.,Responsable de Recursos Humanos & Relaciones Laborales
Cognizant Technology Solutions,Infrastructure Project Manager
Maven,Software Engineer
Naranja X,Talent Acquisition Specialist
Pixlee,Senior Enterprise Customer Success Manager
Malwarebytes,Senior Web Engineer
SynDevs,Senior IT Recruiter
Estudio Jurídico ,Abogada. Mediadora Judicial 
Cognizant,HR EXECUTIVE
Unilever,HRBP Planta Carrascal
Globant,Lead Recruiter
Elementum,Software Engineer
Travelport,General Manager Southern Cone
Cognizant Softvision,Technical Director
Banco Patagonia,Finance Manager
Medallia,Talent Manager
Salesforce,Manager. CSG M&A
Hidalgo & Asociados,Coordinadora de Selección y Evaluaciones
WillDom,Talent Specialist
MetLife,Director
Pilar Humano,CoFounder & CoOwner
Mercado Libre,Project Leader
IBM,Statutory Accounting Country Team Leader
Droptek,Co-Founder & CEO
Tiendanube,Data Scientist
American Express,Outsourced Program Manager 
BNP Paribas Cardif,Responsable de Control Interno
Brightcove,Senior Software Engineer
"TradeHelm, Inc.",Chief Operating Officer
everis,Recruiting Lider
MuleSoft,Technical Recruiter
MPA Consultora,IT Recruiter
